area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056.0,2.0,1.0,39.07,2.0,0.03699810606060606
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600.0,5.0,3.0,120.0,4.0,0.046153846153846156
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrrvaGr,1440.0,2.0,3.0,62.0,3.0,0.043055555555555555
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521.0,3.0,1.0,95.0,3.0,0.062458908612754764
Super built-up  Area,Ready To Move,Kothanur,2 BHK,GrrvaGr,1200.0,2.0,1.0,51.0,2.0,0.0425
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170.0,2.0,1.0,38.0,2.0,0.03247863247863248
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732.0,4.0,2.0,204.0,4.0,0.0746705710102489
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300.0,4.0,2.0,600.0,4.0,0.18181818181818182
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrrvaGr,1310.0,3.0,1.0,63.25,3.0,0.048282442748091604
Super built-up  Area,18-Feb,Whitefield,3 BHK,GrrvaGr,1800.0,2.0,2.0,70.0,3.0,0.03888888888888889
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785.0,5.0,3.0,295.0,4.0,0.1059245960502693
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000.0,2.0,1.0,38.0,2.0,0.038
Built-up  Area,Ready To Move,Gottigere,2 BHK,GrrvaGr,1100.0,2.0,2.0,40.0,2.0,0.03636363636363636
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250.0,3.0,2.0,148.0,3.0,0.06577777777777778
